text,created_at,is_retweet,source,clean_text,clean_text_with_stopwords
"Horrified by the savage murder of an Israeli-American, Hallel Yaffa Ariel, in the #WestBank yesterday. We pray for her friends and family.",Fri Jul 01 14:15:00 +0000 2016,False,other,horrified savage murder israeli american hallel yaffa ariel westbank yesterday pray friends family,horrified by the savage murder of an israeli american hallel yaffa ariel in the westbank yesterday we pray for her friends and family
Read my statement on the Department of Labor’s harmful overtime regulation ⇩ https://t.co/uQxkGo8KKT,Wed May 18 15:41:19 +0000 2016,False,other,read statement department labor harmful overtime regulation,read my statement on the department of labor s harmful overtime regulation
#Republicans won't let President Obama's oil tax happen. https://t.co/oCkxg6vbFb,Tue Feb 09 15:46:42 +0000 2016,False,other,republicans let president obama oil tax happen,republicans won t let president obama s oil tax happen
"We need to build a 21st century military in order to restore a safer, more #ConfidentAmerica https://t.co/btbGJurJzZ
https://t.co/2IcMHob2pH",Tue May 17 22:19:04 +0000 2016,False,other,need build st century military order restore safer confidentamerica,we need to build a st century military in order to restore a safer more confidentamerica
The war against Islamic terrorism is not just a military struggle—it is an ideological one that respects no borders.,Mon Aug 15 23:29:58 +0000 2016,False,other,war islamic terrorism military struggle ideological one respects borders,the war against islamic terrorism is not just a military struggle it is an ideological one that respects no borders
"RT @RepTomPrice: #Obamacare fuels waste, fraud, &amp; abuse. Its knot of regulations, taxes, &amp; mandates cannot be untangled. Time for a #Better…",Fri Oct 21 22:53:34 +0000 2016,True,other,rt @reptomprice obamacare fuels waste fraud abuse knot regulations taxes mandates cannot untangled time better,rt @reptomprice obamacare fuels waste fraud abuse its knot of regulations taxes mandates cannot be untangled time for a better
BREAKING: I formally asked the Director of National Intelligence to deny Sec. Clinton access to classified info. https://t.co/Kk8t00cdJn,Thu Jul 07 12:26:26 +0000 2016,False,other,breaking formally asked director national intelligence deny sec clinton access classified info,breaking i formally asked the director of national intelligence to deny sec clinton access to classified info
RT @RepRatcliffe: Americans don't deserve to be paying skyrocketing #Obamacare premiums. That's why the @HouseGOP has a #BetterWay: https:/…,Thu Nov 03 11:25:53 +0000 2016,True,other,rt @repratcliffe americans deserve paying skyrocketing obamacare premiums @housegop betterway https,rt @repratcliffe americans don t deserve to be paying skyrocketing obamacare premiums that s why the @housegop has a betterway https
"Our ambition is a #ConfidentAmerica, where all have a chance to go out &amp; succeed no matter where they start in life.
https://t.co/i0ahiZ7i5F",Mon Jun 06 23:48:21 +0000 2016,False,other,ambition confidentamerica chance go succeed matter start life,our ambition is a confidentamerica where all have a chance to go out succeed no matter where they start in life
Get to know me → https://t.co/jb8gTvqQYX,Wed Jan 13 02:03:25 +0000 2016,False,other,get know,get to know me
"RT @HouseGOP: We don't have to settle for mediocre jobs reports, when we've got a #BetterWay for job growth. https://t.co/mNcWD2KfE0",Sun Oct 09 23:21:52 +0000 2016,True,other,rt @housegop settle mediocre jobs reports got betterway job growth,rt @housegop we don t have to settle for mediocre jobs reports when we ve got a betterway for job growth
8 out 10 small businesses in America file taxes as individuals. Their top tax rate is effectively 44.6%. They deser… https://t.co/SZxxGXQs0R,Mon Dec 12 19:22:12 +0000 2016,False,other,small businesses america file taxes individuals top tax rate effectively deser,out small businesses in america file taxes as individuals their top tax rate is effectively they deser
"Welcome home, Amir. #FreedAmir https://t.co/MBYA3576de",Thu Feb 25 21:13:50 +0000 2016,False,other,welcome home amir freedamir,welcome home amir freedamir
"America is a pluralistic, inclusive country. It is, it has been, and it will continue to be. https://t.co/EyPvoaHav1",Mon Nov 14 12:52:55 +0000 2016,False,other,america pluralistic inclusive country continue,america is a pluralistic inclusive country it is it has been and it will continue to be
BREAKING → The House is taking legal action to prevent an #Obamacare bailout of insurance companies.… https://t.co/zbDkAYW1Xk,Fri Oct 14 14:47:20 +0000 2016,False,other,breaking house taking legal action prevent obamacare bailout insurance companies,breaking the house is taking legal action to prevent an obamacare bailout of insurance companies
A law to prevent a taxpayer bailout of #PuertoRico and allow the island to retake control of its future ✅ (18/23),Sat Dec 17 20:57:25 +0000 2016,False,other,law prevent taxpayer bailout puertorico allow island retake control future,a law to prevent a taxpayer bailout of puertorico and allow the island to retake control of its future
"Right now, we have a tax code that no one understands being enforced by an agency that no one trusts.  https://t.co/uhLGKqCURN",Tue Apr 19 14:13:15 +0000 2016,False,other,right tax code one understands enforced agency one trusts,right now we have a tax code that no one understands being enforced by an agency that no one trusts
RT @RepWalberg: Proud the House passed the Regulatory Integrity Act this week to increase transparency about pending regulations.  https://…,Thu Sep 15 19:44:04 +0000 2016,True,other,rt @repwalberg proud house passed regulatory integrity act week increase transparency pending regulations https,rt @repwalberg proud the house passed the regulatory integrity act this week to increase transparency about pending regulations https
"RT @WaysandMeansGOP: Must read: Chairman Brady talks about path forward for comprehensive tax reform. There is a #BetterWay, via @thehill h…",Wed Dec 07 18:06:13 +0000 2016,True,other,rt @waysandmeansgop must read chairman brady talks path forward comprehensive tax reform betterway via @thehill h,rt @waysandmeansgop must read chairman brady talks about path forward for comprehensive tax reform there is a betterway via @thehill h
RT @RepTomPrice: Our #BetterWay plan would make health insurance portable—aka you can take your #healthcare with you from job-to-job or int…,Thu Oct 20 23:57:09 +0000 2016,True,other,rt @reptomprice betterway plan would make health insurance portable aka take healthcare job job int,rt @reptomprice our betterway plan would make health insurance portable aka you can take your healthcare with you from job to job or int
This week is about saving people's lives. We're passing more bipartisan bills today to fight this epidemic. https://t.co/K7cqoFz2LS,Thu May 12 13:31:37 +0000 2016,False,other,week saving people lives passing bipartisan bills today fight epidemic,this week is about saving people s lives we re passing more bipartisan bills today to fight this epidemic
"RT @cathymcmorris: The land of opportunity starts with having a job, because a job is so much more than a paycheck. https://t.co/SSJzRCvuhN",Tue Oct 18 11:35:21 +0000 2016,True,other,rt @cathymcmorris land opportunity starts job job much paycheck,rt @cathymcmorris the land of opportunity starts with having a job because a job is so much more than a paycheck
You deserve a #BetterWay on health care—one that actually lower costs by giving you more control &amp; more choices. https://t.co/yVd3WFUD1W,Sat Sep 03 16:25:29 +0000 2016,False,other,deserve betterway health care one actually lower costs giving control choices,you deserve a betterway on health care one that actually lower costs by giving you more control more choices
FACT → #Obamacare is imploding. We have a plan to replace it. #BetterWay https://t.co/jFvps6eUab,Sat Oct 22 19:33:17 +0000 2016,False,other,fact obamacare imploding plan replace betterway,fact obamacare is imploding we have a plan to replace it betterway
"Thank you for your leadership, @mariodb.
https://t.co/QeebkCjHZU",Thu Mar 17 16:41:01 +0000 2016,False,other,thank leadership @mariodb,thank you for your leadership @mariodb
"RT @MarshaBlackburn: After learning about the premium spikes yesterday, the Republican plan for #ABetterWay is necessary for Americans. htt…",Tue Oct 25 23:10:49 +0000 2016,True,other,rt @marshablackburn learning premium spikes yesterday republican plan abetterway necessary americans htt,rt @marshablackburn after learning about the premium spikes yesterday the republican plan for abetterway is necessary for americans htt
Dr. Carla Hayden is about to be sworn in as the 14th @LibnOfCongress. Watch the event live: https://t.co/RrNzrxPmYU,Wed Sep 14 15:54:35 +0000 2016,False,other,dr carla hayden sworn th @libnofcongress watch event live,dr carla hayden is about to be sworn in as the th @libnofcongress watch the event live
Here are the 2016 House agenda issues → https://t.co/eAjcfbVOyb,Fri Jan 15 18:03:41 +0000 2016,False,other,house agenda issues,here are the house agenda issues
"Marking #SmallBizWeek, @RepSteveChabot will deliver this week's @HouseGOP address. https://t.co/MXyzB4IAKU #DreamSmallBiz",Fri May 06 14:58:14 +0000 2016,False,other,marking smallbizweek @repstevechabot deliver week @housegop address dreamsmallbiz,marking smallbizweek @repstevechabot will deliver this week s @housegop address dreamsmallbiz
We’ve got to reform our tax code to get our economy moving. That’s what our plan does. #BetterWay https://t.co/8sbwWNilWe,Wed Sep 28 13:03:32 +0000 2016,False,other,got reform tax code get economy moving plan betterway,we ve got to reform our tax code to get our economy moving that s what our plan does betterway
"By giving teachers, not government bureaucrats, control over K-12 education, more students are able to succeed. https://t.co/THnqev6bXq",Tue May 03 21:23:08 +0000 2016,False,other,giving teachers government bureaucrats control k education students able succeed,by giving teachers not government bureaucrats control over k education more students are able to succeed
"RT @cathymcmorris: We have to get our economy back on track. By creating jobs, we make sure the American Dream is a reality for all. https:…",Wed Nov 02 01:08:53 +0000 2016,True,other,rt @cathymcmorris get economy back track creating jobs make sure american dream reality https,rt @cathymcmorris we have to get our economy back on track by creating jobs we make sure the american dream is a reality for all https
Remember when the president wanted to tax #529plans? They're more popular than ever. https://t.co/imvTBrTv4W,Tue Apr 05 12:02:44 +0000 2016,False,other,remember president wanted tax plans popular ever,remember when the president wanted to tax plans they re more popular than ever
"RT @HouseCommerce: #BetterWay = ⬆️choices &amp; ⬇️costs, protections, cutting-edge cures &amp; treatments, and a stronger Medicare.",Thu Oct 20 18:38:50 +0000 2016,True,other,rt @housecommerce betterway choices costs protections cutting edge cures treatments stronger medicare,rt @housecommerce betterway choices costs protections cutting edge cures treatments and a stronger medicare
RT @LamarSmithTX21: Today I voted to bring accountability and reform to the @DeptVetAffairs with #HR5620 https://t.co/JUa3Bpogja https://t.…,Thu Sep 15 00:45:07 +0000 2016,True,other,rt @lamarsmithtx today voted bring accountability reform @deptvetaffairs hr,rt @lamarsmithtx today i voted to bring accountability and reform to the @deptvetaffairs with hr
RT @RepMeehan: 21st Century Cures Act will help us break down barriers standing in the way of curing diseases that affect millions of Ameri…,Wed Nov 30 18:54:28 +0000 2016,True,other,rt @repmeehan st century cures act help us break barriers standing way curing diseases affect millions ameri,rt @repmeehan st century cures act will help us break down barriers standing in the way of curing diseases that affect millions of ameri
Check out my piece in the @Journaltimes on how we're fighting for small businesses: https://t.co/njofn5ZUzE #DreamSmallBiz,Wed May 04 16:30:50 +0000 2016,False,other,check piece @journaltimes fighting small businesses dreamsmallbiz,check out my piece in the @journaltimes on how we re fighting for small businesses dreamsmallbiz
RT @KenCalvert: A Better Way to Fix Health Care https://t.co/5as8VRe42P #BetterWay,Fri Oct 28 11:49:31 +0000 2016,True,other,rt @kencalvert better way fix health care betterway,rt @kencalvert a better way to fix health care betterway
"Our prayers are with #Brussels, as is our solidarity. https://t.co/weZ5Wy0Z1U
https://t.co/6KRRHIuaOv",Fri Mar 25 13:05:02 +0000 2016,False,other,prayers brussels solidarity,our prayers are with brussels as is our solidarity
"This budget never balances. https://t.co/jVSQ227KRY Not in five years, or 10 years, or 25 years—never.",Wed Feb 10 12:37:44 +0000 2016,False,other,budget never balances five years years years never,this budget never balances not in five years or years or years never
"In the fight against terrorism and proliferation, the U.S. and #Israel's interests are one and the same. #AIPAC2016 https://t.co/pvwLfb8oMg",Mon Mar 21 22:11:58 +0000 2016,False,other,fight terrorism proliferation u israel interests one aipac,in the fight against terrorism and proliferation the u s and israel s interests are one and the same aipac
"Based upon the FBI director's own statement, it appears damage is being done to the rule of law. https://t.co/gYmD6wGIRF",Wed Jul 06 11:33:52 +0000 2016,False,other,based upon fbi director statement appears damage done rule law,based upon the fbi director s own statement it appears damage is being done to the rule of law
"2016 was about raising our gaze.

2017 will be about doing big things for our country. https://t.co/dxuw4NeqYw",Tue Dec 06 15:54:56 +0000 2016,False,other,raising gaze big things country,was about raising our gaze will be about doing big things for our country
Sending legislation to the president that cracks down on the global poaching crisis threatening some of the world’s… https://t.co/PTEhAWrnfp,Tue Oct 04 17:01:38 +0000 2016,False,other,sending legislation president cracks global poaching crisis threatening world,sending legislation to the president that cracks down on the global poaching crisis threatening some of the world s
Our unified Republican government will act in 2017 to provide coal country with relief. https://t.co/rfaagc8Mx8 https://t.co/SKtosSrQx1,Tue Dec 20 02:30:45 +0000 2016,False,other,unified republican government act provide coal country relief,our unified republican government will act in to provide coal country with relief
You’re probably reading this tweet on your 📱. https://t.co/Uc5EMX9S12 also looks great on on a phone. https://t.co/EcouQRMT4t,Fri May 13 13:19:31 +0000 2016,False,other,probably reading tweet also looks great phone,you re probably reading this tweet on your also looks great on on a phone
I entered Congress in 1999. It was a different time. Cell phones were a lot bigger—and so was my hair. #RyanAtGU https://t.co/Kwy79ZYTcH,Wed Apr 27 18:05:15 +0000 2016,False,other,entered congress different time cell phones lot bigger hair ryanatgu,i entered congress in it was a different time cell phones were a lot bigger and so was my hair ryanatgu
FACT → #Obamacare is failing. We've got to replace this law. https://t.co/rdKaq1sokd,Wed Dec 07 16:03:02 +0000 2016,False,other,fact obamacare failing got replace law,fact obamacare is failing we ve got to replace this law
"#OTD in 1787, our founding fathers signed the #Constitution &amp; secured the Blessings of Liberty for all Americans. https://t.co/3JHxsNtpAo",Sat Sep 17 14:38:26 +0000 2016,False,other,otd founding fathers signed constitution secured blessings liberty americans,otd in our founding fathers signed the constitution secured the blessings of liberty for all americans
More respected conservatives are stepping up to support House #PuertoRico bill. https://t.co/rnwC9VILax,Fri May 06 20:10:43 +0000 2016,False,other,respected conservatives stepping support house puertorico bill,more respected conservatives are stepping up to support house puertorico bill
"RT @FinancialCmte: Instead of ending #TooBigToFail, #DoddFrank created too small to succeed. It's time for a #betterway. https://t.co/6vZPl…",Thu Aug 25 16:10:25 +0000 2016,True,other,rt @financialcmte instead ending toobigtofail doddfrank created small succeed time betterway,rt @financialcmte instead of ending toobigtofail doddfrank created too small to succeed it s time for a betterway
We look forward to getting #CuresNow to the president's desk shortly. https://t.co/dI7kPfrag7,Sun Dec 04 02:03:38 +0000 2016,False,other,look forward getting curesnow president desk shortly,we look forward to getting curesnow to the president s desk shortly
"We must defend the principles of self-determination, self-government, &amp; government by consent of the governed. https://t.co/1aGp4mtpC6",Sat Mar 19 17:34:47 +0000 2016,False,other,must defend principles self determination self government government consent governed,we must defend the principles of self determination self government government by consent of the governed
"RT @RepMcKinley: Have you seen the news about skyrocketing #Obamacare premiums? Fortunately, the @HouseGOP is offering a #BetterWay. #healt…",Thu Nov 03 23:07:54 +0000 2016,True,other,rt @repmckinley seen news skyrocketing obamacare premiums fortunately @housegop offering betterway healt,rt @repmckinley have you seen the news about skyrocketing obamacare premiums fortunately the @housegop is offering a betterway healt
The president will deliver his #LastSOTU in 2 days. Here's a glimpse of what we expect: https://t.co/fOCiw0RupD,Sun Jan 10 23:15:31 +0000 2016,False,other,president deliver lastsotu days glimpse expect,the president will deliver his lastsotu in days here s a glimpse of what we expect
"There's a #BetterWay—where everyone has access to affordable care without a government takeover.
https://t.co/tgAXkfxEUH",Thu Aug 18 16:26:13 +0000 2016,False,other,betterway everyone access affordable care without government takeover,there s a betterway where everyone has access to affordable care without a government takeover
"#POW Sam Johnson returned home 43 years ago today from Hanoi. He is not just my friend. He is my hero.
https://t.co/TiR3NE4pI2",Wed Feb 17 17:41:03 +0000 2016,False,other,pow sam johnson returned home years ago today hanoi friend hero,pow sam johnson returned home years ago today from hanoi he is not just my friend he is my hero
"Here's the deal: There is a #BetterWay to fix health care in America. https://t.co/J5DoHHaxQ4
https://t.co/6XlM3Obe3d",Wed Aug 17 12:30:29 +0000 2016,False,other,deal betterway fix health care america,here s the deal there is a betterway to fix health care in america
"To honor those lost on #September11, we will sing #GodBlessAmerica on @uscapitol steps. https://t.co/Kgk8Ty58OD #NeverForget",Sun Sep 04 18:56:59 +0000 2016,False,other,honor lost september sing godblessamerica @uscapitol steps neverforget,to honor those lost on september we will sing godblessamerica on @uscapitol steps neverforget
"RT @SteveScalise: ICYMI: @RepKevinBrady's great op-ed on how the #BetterWay tax overhaul is a game changer for small businesses. 
https://t…",Mon Nov 28 20:52:30 +0000 2016,True,other,rt @stevescalise icymi @repkevinbrady great op ed betterway tax overhaul game changer small businesses,rt @stevescalise icymi @repkevinbrady s great op ed on how the betterway tax overhaul is a game changer for small businesses
Here’s another example of the House creating a more open and accountable government → https://t.co/zkqAnFmHqO #OpenGov,Wed Mar 23 17:00:36 +0000 2016,False,other,another example house creating open accountable government opengov,here s another example of the house creating a more open and accountable government opengov
"By day, Kaheem is a 5-year old who is battling leukemia. But w/ the help of @WishMidAtlantic, he transformed into a… https://t.co/1X6uETQfhL",Fri Dec 16 23:00:00 +0000 2016,False,other,day kaheem year old battling leukemia w help @wishmidatlantic transformed,by day kaheem is a year old who is battling leukemia but w the help of @wishmidatlantic he transformed into a
RT @HouseSmallBiz: Chairman @RepSteveChabot will be on @MSNBCYourBiz this Sunday morning at 7:30 to talk @HouseGOP #BetterWay agenda &amp; @USD…,Fri Dec 02 13:46:30 +0000 2016,True,other,rt @housesmallbiz chairman @repstevechabot @msnbcyourbiz sunday morning talk @housegop betterway agenda @usd,rt @housesmallbiz chairman @repstevechabot will be on @msnbcyourbiz this sunday morning at to talk @housegop betterway agenda @usd
"RT @RepWesterman: RELEASE: REVIEW Act “Frees Up Billions of Dollars” to Spur Job Growth, Westerman Says https://t.co/wqZdinhCYb #BetterWay…",Thu Sep 22 00:15:01 +0000 2016,True,other,rt @repwesterman release review act frees billions dollars spur job growth westerman says betterway,rt @repwesterman release review act frees up billions of dollars to spur job growth westerman says betterway
RT @RepKevinBrady: Americans deserve a 21st century health care system based on what patients &amp; families need—not what Washington wants. Th…,Wed Dec 21 23:40:54 +0000 2016,True,other,rt @repkevinbrady americans deserve st century health care system based patients families need washington wants th,rt @repkevinbrady americans deserve a st century health care system based on what patients families need not what washington wants th
Honored to name these 21 @HouseGOP members as conferees on our final #opioid legislation. https://t.co/aLrNPMt4DO https://t.co/okHUhixudH,Tue May 17 19:06:48 +0000 2016,False,other,honored name @housegop members conferees final opioid legislation,honored to name these @housegop members as conferees on our final opioid legislation
"RT @RepLynnJenkins: About to speak live on how our #BetterWay agenda helps build a fairer, flatter, simpler tax code: https://t.co/PrLTGnG8…",Tue Sep 27 13:52:23 +0000 2016,True,other,rt @replynnjenkins speak live betterway agenda helps build fairer flatter simpler tax code,rt @replynnjenkins about to speak live on how our betterway agenda helps build a fairer flatter simpler tax code
"Today, 30 years later, we remember the #Challenger. https://t.co/RpjCt3V1df",Thu Jan 28 23:00:40 +0000 2016,False,other,today years later remember challenger,today years later we remember the challenger
The House acted this week to renew stringent laws regarding #Gitmo. Here's why these are so important ↓ https://t.co/B8nFwn3T8d,Thu May 19 23:30:08 +0000 2016,False,other,house acted week renew stringent laws regarding gitmo important,the house acted this week to renew stringent laws regarding gitmo here s why these are so important
The administration should resolve this so the Little Sisters can go on serving the poor in peace. https://t.co/gkqqZKm7bB #LetThemServe,Sat May 21 01:24:13 +0000 2016,False,other,administration resolve little sisters go serving poor peace letthemserve,the administration should resolve this so the little sisters can go on serving the poor in peace letthemserve
RT @HouseGOP: .@KeithRothfus reminds us to never lose sight of the framework our founding fathers built our nation upon https://t.co/j0eOyN…,Sat Sep 17 17:51:08 +0000 2016,True,other,rt @housegop @keithrothfus reminds us never lose sight framework founding fathers built nation upon,rt @housegop @keithrothfus reminds us to never lose sight of the framework our founding fathers built our nation upon
.@RepGoodlatte: A #BetterWay means health care that improves every American’s access to the care they need. https://t.co/Q5cUkPVEB8,Thu Aug 18 11:22:58 +0000 2016,False,other,@repgoodlatte betterway means health care improves every american access care need,@repgoodlatte a betterway means health care that improves every american s access to the care they need
Building a new culture at the #IRS &amp; reforming our tax code will be 2 parts of our #ConfidentAmerica agenda. https://t.co/8HievsTpeD,Tue Apr 19 18:54:18 +0000 2016,False,other,building new culture irs reforming tax code parts confidentamerica agenda,building a new culture at the irs reforming our tax code will be parts of our confidentamerica agenda
The #IRS won't even own up to its problems—again. https://t.co/wTJLk5ND4f,Thu Mar 31 12:46:03 +0000 2016,False,other,irs even problems,the irs won t even own up to its problems again
RT @RepTomPrice: Making h'care more affordable means understanding what’s driving costs &amp; then choosing a #BetterWay to address it → https:…,Wed Aug 17 18:33:20 +0000 2016,True,other,rt @reptomprice making h care affordable means understanding driving costs choosing betterway address https,rt @reptomprice making h care more affordable means understanding what s driving costs then choosing a betterway to address it https
"Given the importance of fighting poverty, it was encouraging to hear @PMOIndia's commitment to helping everyone rise https://t.co/WO6NBFZ5Xr",Thu Jun 30 15:00:35 +0000 2016,False,other,given importance fighting poverty encouraging hear @pmoindia commitment helping everyone rise,given the importance of fighting poverty it was encouraging to hear @pmoindia s commitment to helping everyone rise
"We expect that the president's budget will:
⇒Never balance.
⇒Raise taxes.
⇒Fail to protect our safety-net programs.
https://t.co/gYO9ufuyLB",Tue Feb 02 20:48:04 +0000 2016,False,other,expect president budget never balance raise taxes fail protect safety net programs,we expect that the president s budget will never balance raise taxes fail to protect our safety net programs
These initiatives put forward by @PatrickMcHenry will help startups raise capital when they need it most. https://t.co/VF1JPWvlEz #BetterWay,Thu Jul 07 01:44:30 +0000 2016,False,other,initiatives put forward @patrickmchenry help startups raise capital need betterway,these initiatives put forward by @patrickmchenry will help startups raise capital when they need it most betterway
"RT @UnivisionNews: House Republicans are working to increase incomes by reducing poverty, writes @RepCurbelo https://t.co/ublZmp0hiY https:…",Thu Sep 29 17:22:41 +0000 2016,True,other,rt @univisionnews house republicans working increase incomes reducing poverty writes @repcurbelo https,rt @univisionnews house republicans are working to increase incomes by reducing poverty writes @repcurbelo https
The House #Zika proposal ensures not a single taxpayer dollar is used to fund abortions. https://t.co/1ZKIIhPl1V,Mon May 16 21:46:41 +0000 2016,False,other,house zika proposal ensures single taxpayer dollar used fund abortions,the house zika proposal ensures not a single taxpayer dollar is used to fund abortions
One big takeaway from visits w/ our allies in Middle East &amp; Europe: U.S. leadership is needed now more than ever. https://t.co/JiJZDRSwCV,Sun Apr 10 21:47:30 +0000 2016,False,other,one big takeaway visits w allies middle east europe u leadership needed ever,one big takeaway from visits w our allies in middle east europe u s leadership is needed now more than ever
"RT @CNN: Paul Ryan says Hillary Clinton betrayed Americans' trust in handling ""the nation's most important secrets” https://t.co/6gEkxPzqVH…",Sat Oct 29 00:20:27 +0000 2016,True,other,rt @cnn paul ryan says hillary clinton betrayed americans trust handling nation important secrets,rt @cnn paul ryan says hillary clinton betrayed americans trust in handling the nation s most important secrets
"RT @SteveScalise: Americans need healthcare that helps instead of hurts the middle class. 

The solution: the @HouseGOP #BetterWay 
https:/…",Sun Nov 06 21:01:55 +0000 2016,True,other,rt @stevescalise americans need healthcare helps instead hurts middle class solution @housegop betterway https,rt @stevescalise americans need healthcare that helps instead of hurts the middle class the solution the @housegop betterway https
A strong economy and sensible regulation can go hand-in-hand. #BetterWay ➡️ https://t.co/ydyjcutJIx https://t.co/jLteaZJI0I,Sat Aug 13 16:37:05 +0000 2016,False,other,strong economy sensible regulation go hand hand betterway,a strong economy and sensible regulation can go hand in hand betterway
"President Obama promised #Obamacare would lower premiums for the typical family by $2,500. It didn’t.… https://t.co/DFdX6mE1g2",Wed Oct 05 16:03:06 +0000 2016,False,other,president obama promised obamacare would lower premiums typical family,president obama promised obamacare would lower premiums for the typical family by it didn t
Every member &amp; their constituents will have the chance to provide their input. https://t.co/egaLZ7TD1K,Sat Jan 16 16:16:32 +0000 2016,False,other,every member constituents chance provide input,every member their constituents will have the chance to provide their input
"During the Obama years, military readiness has been put on the back burner. Our troops deserve a #BetterWay. https://t.co/11m871m07g",Thu Sep 01 12:41:22 +0000 2016,False,other,obama years military readiness put back burner troops deserve betterway,during the obama years military readiness has been put on the back burner our troops deserve a betterway
"RT @RepKenBuck: Had a great town hall in Lamar. We discussed a #BetterWay proposed by @SpeakerRyan, from healthcare to job creation. https:…",Fri Aug 26 20:09:39 +0000 2016,True,other,rt @repkenbuck great town hall lamar discussed betterway proposed @speakerryan healthcare job creation https,rt @repkenbuck had a great town hall in lamar we discussed a betterway proposed by @speakerryan from healthcare to job creation https
Absolutely. https://t.co/QeFQVDdWOx,Wed Jun 15 18:03:32 +0000 2016,False,other,absolutely,absolutely
RT @RepTomEmmer: We must do more to protect our borders &amp; ensure our national security. There is absolutely a #BetterWay. https://t.co/88Ob…,Fri Nov 04 01:42:25 +0000 2016,True,other,rt @reptomemmer must protect borders ensure national security absolutely betterway,rt @reptomemmer we must do more to protect our borders ensure our national security there is absolutely a betterway
"Noticed a lot of tweets with the hashtag #BetterWay in your feed? Here's why. ➺ https://t.co/ydyjcutJIx
https://t.co/EbjoMqHz9B",Fri Jul 29 12:10:45 +0000 2016,False,other,noticed lot tweets hashtag betterway feed,noticed a lot of tweets with the hashtag betterway in your feed here s why
"Require everyone who can to work. Let states &amp; communities try different ideas &amp; then test the results.
https://t.co/iHbqQnTcqf",Sat Jan 09 19:14:07 +0000 2016,False,other,require everyone work let states communities try different ideas test results,require everyone who can to work let states communities try different ideas then test the results
RT @USRepLong: A constitutional government is one that listens to the people. @HouseGOP has a #BetterWay to accomplish that: https://t.co/5…,Tue Sep 20 19:15:21 +0000 2016,True,other,rt @usreplong constitutional government one listens people @housegop betterway accomplish,rt @usreplong a constitutional government is one that listens to the people @housegop has a betterway to accomplish that
1) Why was the $1.3 billion transferred through an unknown central bank while the $400 million was paid in cash?,Thu Sep 01 14:28:09 +0000 2016,False,other,billion transferred unknown central bank million paid cash,why was the billion transferred through an unknown central bank while the million was paid in cash
"RT @RepMimiWalters: Today, we sent #CuresNow to the President. Thank you to @RepFredUpton &amp; @RepTimMurphy for your tireless work to find cu…",Thu Dec 08 19:08:35 +0000 2016,True,other,rt @repmimiwalters today sent curesnow president thank @repfredupton @reptimmurphy tireless work find cu,rt @repmimiwalters today we sent curesnow to the president thank you to @repfredupton @reptimmurphy for your tireless work to find cu
The president's budget proposal is a progressive manual. Read my statement here: https://t.co/6OSI3KOSdc,Tue Feb 09 16:03:56 +0000 2016,False,other,president budget proposal progressive manual read statement,the president s budget proposal is a progressive manual read my statement here
"RT @HouseGOP: In a #ConfidentAmerica, the IRS and the tax code work for you, not the other way around #BetterWay https://t.co/wGR1YedGmu",Mon Sep 26 14:41:20 +0000 2016,True,other,rt @housegop confidentamerica irs tax code work way around betterway,rt @housegop in a confidentamerica the irs and the tax code work for you not the other way around betterway
There are over 28 million #SmallBusinesses in the US. They are responsible for 63% of America’s job growth. https://t.co/n60Qk0dXwn,Tue Aug 23 19:04:09 +0000 2016,False,other,million smallbusinesses us responsible america job growth,there are over million smallbusinesses in the us they are responsible for of america s job growth
I want to thank @RepFredUpton and the entire @HouseCommerce committee for their hard work on #CuresNow. https://t.co/noFisRyNVq,Sat Dec 03 20:38:33 +0000 2016,False,other,want thank @repfredupton entire @housecommerce committee hard work curesnow,i want to thank @repfredupton and the entire @housecommerce committee for their hard work on curesnow
RT @HouseGOP: A closer look at a #BetterWay https://t.co/zA57peFSlD,Sat Aug 27 21:21:29 +0000 2016,True,other,rt @housegop closer look betterway,rt @housegop a closer look at a betterway
"Thanks to @RepMcSally, Congress took a tremendous step towards restoring inurnment rights for these #WWII women. https://t.co/VrpNLHMEFD",Sun May 15 18:10:27 +0000 2016,False,other,thanks @repmcsally congress took tremendous step towards restoring inurnment rights wwii women,thanks to @repmcsally congress took a tremendous step towards restoring inurnment rights for these wwii women
"These are common sense reforms that need to be made to America's health care system. #BetterWay
https://t.co/mjABgjgS1K",Tue Aug 16 13:23:15 +0000 2016,False,other,common sense reforms need made america health care system betterway,these are common sense reforms that need to be made to america s health care system betterway
"Education reform should be about results, regardless of whether it's from #SchoolChoice, #CharterSchools, or… https://t.co/75DhOtKUt2",Wed Dec 21 23:57:00 +0000 2016,False,other,education reform results regardless whether schoolchoice charterschools,education reform should be about results regardless of whether it s from schoolchoice charterschools or
RT @EdWorkforce: ICYMI: House passed a bipartisan bill to provide more Americans a #BetterWay through #CTE https://t.co/xjVKqH1xU9,Mon Sep 19 21:28:52 +0000 2016,True,other,rt @edworkforce icymi house passed bipartisan bill provide americans betterway cte,rt @edworkforce icymi house passed a bipartisan bill to provide more americans a betterway through cte
"We’re offering a #BetterWay to fix the VA, starting with real accountability &amp; an overhaul of the appeals process. https://t.co/g7Rf72qsYH",Thu Sep 15 18:43:56 +0000 2016,False,other,offering betterway fix va starting real accountability overhaul appeals process,we re offering a betterway to fix the va starting with real accountability an overhaul of the appeals process
